title,rating,date,description,reviewUrl,isVerified,isReviewInIndia,customerName,productSize
It hurts while combing teeth are very rough,1.0,11 September 2024,"I ordered 2 combs. Its teeth are very rough it hurts scalp and hair while combing. They should make it's teeth smooth by proper sanding, if not done then why it's so costly. Not useful, wastage of money, worst product.",https://www.amazon.in/gp/customer-reviews/R1Y6CS2VI3KMOK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Amazon Customer,
Worst,1.0,4 September 2024,This is waste please don't buy it,https://www.amazon.in/gp/customer-reviews/RFG1NSD67PLJI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Ruchi,
Pathetic,1.0,1 September 2024,Terrible product. Caught fungus in 3 days.,https://www.amazon.in/gp/customer-reviews/R1OMBVDG0EL49Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Arnab Banerjee,
For long hair,1.0,28 August 2024,Not for short hairs only for long hairs.,https://www.amazon.in/gp/customer-reviews/R2X48UQTRH45BL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,vipindabas,
Bad product,1.0,28 August 2024,It's too heavy and not comfortable for combing hair .... Waste of money ....,https://www.amazon.in/gp/customer-reviews/RWQLCNJ7EWE6O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Aman ,
Defective product,1.0,23 August 2024,The teeth is broken and it hurts while combing.,https://www.amazon.in/gp/customer-reviews/R2VXOPFMR0TU08/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Miaad,
No use for Thin Hair,1.0,22 August 2024,Not at all good experience Dont waste your money,https://www.amazon.in/gp/customer-reviews/R149SVOUZSDN3D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Gupt Ranjan,
Bad and worse product,1.0,20 August 2024,Don't waste your money,https://www.amazon.in/gp/customer-reviews/R1XFP1HJ8Y25FH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Ape Maheshwari,
Pathetic,1.0,19 August 2024,"I used this comb for almost 3 weeks, dandruff increased in my hair and hair started breaking down. I have stopped using it for almost a week and i can already see the improvement. It was this comb causing dandruff. Worst product ever purchased.",https://www.amazon.in/gp/customer-reviews/R2RREBF5UP0KYV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Amazon Customer,
Broken comb,1.0,12 August 2024,,https://www.amazon.in/gp/customer-reviews/RH97Z32RSBRWQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Kajal singh,
insects are forming on the comb,1.0,8 August 2024,It smells very bad and did not sustain for 1 month even after soaking into oilyou can see insects and mould formation,https://www.amazon.in/gp/customer-reviews/R3A1OHYJVX8V4X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Abu saif Ali khan,
